table_code;table_name;domain_subdomain;domain;subdomain
cr3802mr;Occupancy of accommodation establishments – districts (3 categories);Sector statistics - Tourism;Sector statistics;Tourism
cr3803mr;Occupancy of accommodation establishments – municipalities (inbound/domestic);Sector statistics - Tourism;Sector statistics;Tourism
cr3804mr;Occupancy of accommodation establishments – districts (countries);Sector statistics - Tourism;Sector statistics;Tourism
cr3805rs;Domestic trips - selected districts - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr3806qr;Occupancy, turnover and capacity of accommodation establishments - SR, regions (6 categories, 9 variables);Sector statistics - Tourism;Sector statistics;Tourism
cr3807qr;Occupancy, turnover and capacity of accommodation establishments - districts (3 categories, 9 variables);Sector statistics - Tourism;Sector statistics;Tourism
cr3808qr;Occupancy, turnover and capacity of accommodation establishments - SR, regions, districts (13 variables);Sector statistics - Tourism;Sector statistics;Tourism
cr3809qr;Occupancy, turnover and capacity of accommodation establishments - municipalities (13 variables);Sector statistics - Tourism;Sector statistics;Tourism
do0002ms;Transport and Storage - Turnover (year-on-year index) - monthly;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1001rs;Economic indicators for transport and storage by NACE Rev. 2;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1002rs;Economic indicators for transport (2002 - 2008);Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1003rs;Total indicators for transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1004rs;Infrastructure and the states of fleet in railway transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1005rs;Railway transport - transport of goods and transport of passengers;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1006rs;Railway transport - the indicators of performances and safety of operation;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1007rs;Road transport - transport of goods and transport of passengers;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1008rs;Inland waterway transport - transport of goods and transport of passengers;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1009rs;Air transport - transport of goods and transport of passengers;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1010rs;Air transport - the number of civil planes, airports performances, performances of general aviation;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1011rs;Inland waterway transport - the infrastructure, vessels;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do1012rs;Road transport - the infrastructure, motor vehicles, traffic accidents;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do2002rs;Passengers transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do2003rs;Transport of goods of Freight transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do2007ms;Average monthly wage of employee in transport and storage - monthly data;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do2015rs;Performances of Freight transport of goods;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do2016rs;Performances of passenger transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3701rr;Transport - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
do3801rr;Selected indicators of road transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3802rr;Length of roads;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3803rr;Number of motor vehicles;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3804rr;Survey on infrastructure situated on the roads of the 1st, 2nd and 3rd class;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3805rr;Local communications and objects on local communications;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3806rr;Accident frequency;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
do3807rr;Turnover in transport;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
en1001ms;Sources of Electricity in GWh;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en1002ms;Sources of Selected Solid Fuels in Ths. Ton;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2001rs;Balance of Electricity;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2002rs;Balance of Renewables and Wastes;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2003rs;Balance of Fuels, Electricity and Heat;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2004rs;Balance of Gaseous Fuels;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2005rs;Balance of Crude Oil and Petroleum Products;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2006rs;Balance of Heat;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en2007rs;Balance of Solid Fuels;Multi-domain statistics - Energy;Multi-domain statistics;Energy
en3001rr;Consumption of fuels, electricity, heat;Multi-domain statistics - Energy;Multi-domain statistics;Energy
fp1801qs;Selected indicators of non financial organizations with 20 and more employees - quarterly data;Sector statistics - Cross-sectional statistics;Sector statistics;Cross-sectional statistics
ik0002ms;Information and communication (Turnover) (year-on-year index) - monthly;Sector statistics - Information and communication;Sector statistics;Information and communication
ik1001rs;Selected indicators for telecommunications;Sector statistics - Information and communication;Sector statistics;Information and communication
ik1002rs;Economic indicators by NACE Rev. 2;Sector statistics - Information and communication;Sector statistics;Information and communication
ik1003rs;Economic indicators (2003 - 2008);Sector statistics - Information and communication;Sector statistics;Information and communication
ik2010rs;Main indicators of telecommunications as of Dec. 31th;Sector statistics - Information and communication;Sector statistics;Information and communication
ik3801rr;Selected indicators of telecomunications;Sector statistics - Information and communication;Sector statistics;Information and communication
ik5001rr;Number of post offices in the Slovak Republic;Sector statistics - Transport and postal services;Sector statistics;Transport and postal services
is1001rs;ICT in households;Multi-domain statistics - Information society;Multi-domain statistics;Information society
is1002rs;Internet commerce for private use;Multi-domain statistics - Information society;Multi-domain statistics;Information society
is1003rs;ICT in enterprises;Multi-domain statistics - Information society;Multi-domain statistics;Information society
kp0001ms;Economic Sentiment Indicator;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0003qs;Industrial confidence indicator (quarterly);Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0012ms;Consumer Survey;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0013ms;Balances of questions for selected industries and according to NACE Rev.2 - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0014ms;Balances of questions for selected industries according by size of enterprises - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0015ms;Balances of questions for selected industries in construction according to NACE Rev. 2 - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0016ms;Balances of questions for selected industries in construction by size of enterprises - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0017ms;Balances of questions for selected industries in retail according to NACE Rev. 2 - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0018ms;Balances of questions for selected industries in retail by size of enterprises - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0019ms;Balances of questions for selected industries in services by sectors - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0020qs;Balances of questions and the composite services confidence indicator - quarterly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0021ms;Balances of questions and the composite construction confidence indicator - monthly;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
kp0022ms;Economic Sentiment Indicator;Macroeconomic statistics - Business tendency surveys and consumer opinions;Macroeconomic statistics;Business tendency surveys and consumer opinions
ku1001rr;Botanical gardens;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku1002rr;ZOO gardens;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3002rr;Repertory and attendance at theatres;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3003rr;Galleries;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3004rr;Museums;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3006rr;Libraries - number of volumes and loans;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3007rr;Cultural-educational institutions;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3008rr;Other cultural institutions;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3701rr;Culture and tourism - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
ku3801rr;Subjects of professional performing arts (since 2021) - yearly;Demographic and social statistics - Culture;Demographic and social statistics;Culture
ku3802rr;Repertory and attendance of subjects of professional performing arts (since 2021) - yearly;Demographic and social statistics - Culture;Demographic and social statistics;Culture
kz1001rs;Median equivalised net income;Indicators - Quality of life;Indicators;Quality of life
kz1002rs;Inequality of income distribution;Indicators - Quality of life;Indicators;Quality of life
kz1003rs;At-risk-of-poverty rate anchored at a fixed moment in time (2008);Indicators - Quality of life;Indicators;Quality of life
kz1004rs;At risk of poverty rate by household type;Indicators - Quality of life;Indicators;Quality of life
kz1005rs;Persistent at-risk-of-poverty rate;Indicators - Quality of life;Indicators;Quality of life
kz1006rs;Severe material deprivation rate;Indicators - Quality of life;Indicators;Quality of life
kz1007rs;Quality of housing - Leaking roof, damp walls and other;Indicators - Quality of life;Indicators;Quality of life
kz1008rs;Ability to make ends meet;Indicators - Quality of life;Indicators;Quality of life
kz1009rs;Self-perceived health by sex and selected age groups;Indicators - Quality of life;Indicators;Quality of life
kz1010rs;People having a long-standing illness or health problem by sex and selected age groups;Indicators - Quality of life;Indicators;Quality of life
kz1011rs;Body mass index (BMI) by sex and selected age group;Indicators - Quality of life;Indicators;Quality of life
kz1012rs;Daily smokers of cigarettes by sex and selected age groups;Indicators - Quality of life;Indicators;Quality of life
kz1013rs;Inability to face unexpected financial expenses;Indicators - Quality of life;Indicators;Quality of life
kz1014rs;Financial burden of household;Indicators - Quality of life;Indicators;Quality of life
kz1015rs;Pollution, grime or other environmental problems by household type and income poverty;Indicators - Quality of life;Indicators;Quality of life
kz1016rs;Healthy Life Years and Life expectancy;Indicators - Quality of life;Indicators;Quality of life
kz1017rs;Crime, violence or vandalism;Indicators - Quality of life;Indicators;Quality of life
kz1018rs;Economic activity rate;Indicators - Quality of life;Indicators;Quality of life
kz1019rs;Employment rate;Indicators - Quality of life;Indicators;Quality of life
kz1020rs;Unemployment rate;Indicators - Quality of life;Indicators;Quality of life
kz1022rs;Average rating of satisfaction with time use;Indicators - Quality of life;Indicators;Quality of life
kz1023rs;Average rating of satisfaction with personal relationships;Indicators - Quality of life;Indicators;Quality of life
kz1024rs;Frequency of getting together with relatives and with friends;Indicators - Quality of life;Indicators;Quality of life
kz1025rs;Participation in activities of political parties or trade unions;Indicators - Quality of life;Indicators;Quality of life
kz1026rs;Participation in activities of professional associations;Indicators - Quality of life;Indicators;Quality of life
kz1027rs;Gender pay gap in unadjusted form;Indicators - Quality of life;Indicators;Quality of life
kz1028rs;Overall life satisfaction;Indicators - Quality of life;Indicators;Quality of life
kz1029rs;Assessing whether life is worthwhile;Indicators - Quality of life;Indicators;Quality of life
kz1030rs;Education attainment level;Indicators - Quality of life;Indicators;Quality of life
kz1031rs;Early leavers from education and training;Indicators - Quality of life;Indicators;Quality of life
kz1032rs;Participation rate of young people in formal and non-formal education and training;Indicators - Quality of life;Indicators;Quality of life
kz1033rs;Frequency of contacts with relatives and with friends;Indicators - Quality of life;Indicators;Quality of life
kz1034rs;Participation in informal voluntary activities during the last year;Indicators - Quality of life;Indicators;Quality of life
kz1035rs;Participation in activities of recreational groups or organisations during the last year;Indicators - Quality of life;Indicators;Quality of life
kz1036rs;Help from others (having someone to rely on in case of need);Indicators - Quality of life;Indicators;Quality of life
kz1037rs;Trust to others;Indicators - Quality of life;Indicators;Quality of life
kz1038rs;Trust in institutions - legal system, political system, police;Indicators - Quality of life;Indicators;Quality of life
kz1039rs;Frequency of being happy in the last 4 weeks;Indicators - Quality of life;Indicators;Quality of life
np1101rr;Dynamics of labour costs;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np1102rs;Labour costs by economic activity;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np1105rs;Average wage in enterprises with 20 and more employees by economic activity;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np2008rs;Total labour costs (monthly, hourly) by economic activity (NACE Rev. 2);Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np2014qs;Indexes of real wages by branches of economic activity (NACE Rev. 2);Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3101rr;Gross earnings by age;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3102rr;Gross earnings by education;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3103rr;Gross earnings and hours worked;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3106rr;Gross earnings by occupation;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3110rr;Wage by economic activity collected through workplace method;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
np3112qr;Average wage in the economy of the SR;Demographic and social statistics - Labour cost;Demographic and social statistics;Labour cost
nu0001qs;Flash estimate of GDP and Total employment according to ESA 2010;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0002qs;Quarterly GDP data at curent prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0003qs;Quarterly GDP data at constant prices on the base of previous year;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0004qs;Quarterly GDP data at constant prices chain - linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0005qs;Quarterly GDP data by industry at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0006qs;Quarterly GDP data by industry at constant prices chain - linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0007rs;Revised and preliminary annual data of GDP at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0008rs;Revised and preliminary annual data of GDP at constant prices on the base of previous year;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu0009rs;Revised and preliminary annual data of GDP at constant prices chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1001qs;Transactions in assets - S13N;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1002qs;Transactions in liabilities - S13N;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1003qs;Stock of assets - S13N;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1004qs;Stocks of liabilitie - S13N;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1005qs;Transactions in assets - S13C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1006qs;Transactions in liabilities - S13C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1007qs;Stock of assets - S13C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1008qs;Stocks of liabilitie - S13C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1009qs;Transactions in assets - S1311C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1010qs;Transactions in liabilities - S1311C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1011qs;Stock of assets - S1311C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1012qs;Stocks of liabilitie - S1311C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1013qs;Transactions in assets - S1313C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1014qs;Transactions in liabilities - S1313C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1015qs;Stock of assets - S1313C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1016qs;Stocks of liabilitie- S1313C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1017qs;Transactions in assets - S1314C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1018qs;Transactions in liabilities - S1314C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1019qs;Stock of assets - S1314C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1020qs;Stocks of liabilitie - S1314C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1021rs;GDP by production approach at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1022rs;Compensation, wages and salaries of employees by industry A10;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1024rs;Population and employment - national concept;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1025rs;Employment by industry A10 - domestic concept;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1028rs;Accounts for individual institutional sectors;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1029rs;Exports of Goods (fob) and Services;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1030rs;Imports of Goods (fob) and Services;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1031rs;Disposable income - Saving and Net lending and net borrowing;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1032rs;Gross Capital Formation by Industry - data in current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1034rs;Gross Capital Formation by Industry - Annual data at chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1035rs;Final consumption expenditure at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1036rs;GDP by expenditure approach at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1037rs;GDP by income approach at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1038rs;Financial accounts - stocks consolidated;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1039rs;Financial accounts - stocks non-consolidated;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1040rs;Financial accounts - transactions consolidated;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1041rs;Financial accounts - transactions non-consolidated;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1043rs;Gross national income;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1044rs;Export of goods (fob) and services, chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1045rs;Import of goods (fob) and services,chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1046rs;GDP by expenditure approach, chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1047rs;Final consumption expenditure, chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1048rs;GDP by production approach, chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1049rs;Reporting of government deficit, surplus and debt levels;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1054rs;Gross value added by industry A88 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1055rs;Compensation, wages and salaries of employees by industry A88;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1056rs;Gross value added by industry A88, chain-linked volumes;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1057rs;Employment by industry A88 - domestic concept;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1061qs;Maastricht Debt for general government sector - Stocks of liabilities - S13C;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1801rs;Labour productivity according to NACE Rev.2 (the same period of the previous year=100) - annually;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1802qs;Labour productivity and unit labour costs - quarterly;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1803qs;Gross fixed capital formation by asset type at chain-linked volumes - quarterly;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1804qs;Disposable income of households per capita;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1806qs;Seasonally adjustment of GDP by expenditure components at current prices - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1807qs;Seasonally adjustment of GDP by expenditure components at chain-linked volumes - quarterly;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1808qs;Value added by branches of NACE Rev. 2 at current prices - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1809qs;Value added by branches of NACE Rev. 2 at chain-linked volumes - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1810qs;Gross fixed capital formation by asset type at current prices - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1811qs;Gross fixed capital formation by asset type at chain-linked volumes - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1812qs;Compensation of employees (ESA 2010) by branches of NACE Rev. 2 at current prices - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1813qs;Total employment (ESA 2010) by branches of NACE Rev. 2 - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1814qs;Total hours worked (ESA 2010) by branches of NACE Rev. 2 - seasonally adjusted data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1815qs;Hours worked of employees (ESA 2010) by branches of NACE Rev. 2;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1816rs;Total hours worked by industry A88 - domestic concept;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu1817rs;Hours worked of employed persons by industry A10 - domestic concept;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2002qs;Gross output by branches of NACE Rev. 2 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2008qs;Intermediate consumption by branches of NACE Rev. 2 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2010qs;Value added by branches of NACE Rev. 2 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2012qs;Gross fixed capital formation by branches of NACE Rev. 2 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2014qs;Gross fixed capital formation by classification of production at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2016qs;Gross fixed capital formation by sectors at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2020qs;Final consumption of households by Classification COICOP at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2022qs;Final consumption of households by Classification COICOP at constant prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2025qs;Generation and use of income in sector of households at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2028qs;Gross Domestic Product per capita;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2039qs;General government revenues in current prices - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2040qs;General government expenditure in current prices - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2042qs;Total employment (ESA 2010) by branches of NACE Rev. 2;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2043qs;Seasonally adjustment of GDP by expenditure components at current prices - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2044qs;Seasonally adjustment of GDP by expenditure components at chain-linked volumes with reference year 2015 - quarterly data;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
nu2046qs;Compensation of employees (ESA 2010) by branches of NACE Rev. 2 at current prices;Macroeconomic statistics - National accounts;Macroeconomic statistics;National accounts
